sep=\t
Module Resource Usage Distribution Estimates
Generated at: Apr 05, 2025 23:11:06

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
top_soc:top_soc                                             	    3754(4)	     679(0)	    4340(4)	    22(0)	     4(0)	
 +edb_top_inst:edb_top                                      	     869(0)	      95(0)	    1036(0)	     6(0)	     0(0)	
  +la0:edb_la_top_renamed_due_excessive_length_1            	   679(407)	     89(39)	   802(470)	     6(0)	     0(0)	
   +axi_crc_i:edb_adbg_crc32                                	     32(32)	       0(0)	     58(58)	     0(0)	     0(0)	
   +GEN_PROBE[0].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b0100,PIPE=1)	     11(11)	       0(0)	     16(16)	     0(0)	     0(0)	
   +GEN_PROBE[1].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b0100,PIPE=1)	     11(11)	       0(0)	     16(16)	     0(0)	     0(0)	
   +GEN_PROBE[2].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b0100,PIPE=1)	     11(11)	       0(0)	     15(15)	     0(0)	     0(0)	
   +GEN_PROBE[3].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b0100,PIPE=1)	     11(11)	       0(0)	     15(15)	     0(0)	     0(0)	
   +GEN_PROBE[4].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b0100,PIPE=1)	     11(11)	       0(0)	     17(17)	     0(0)	     0(0)	
   +GEN_PROBE[5].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       8(8)	       0(0)	       8(8)	     0(0)	     0(0)	
   +GEN_PROBE[6].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     10(10)	     0(0)	     0(0)	
   +GEN_PROBE[7].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     13(13)	     0(0)	     0(0)	
   +GEN_PROBE[8].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       2(2)	     0(0)	     0(0)	
   +GEN_PROBE[9].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	       9(9)	     0(0)	     0(0)	
   +trigger_tu:trigger_unit(WIDTH=32'b01010,PIPE=1)         	       1(1)	       0(0)	       2(2)	     0(0)	     0(0)	
   +la_biu_inst:la_biu(CAPTURE_WIDTH=32'b011001)            	    154(55)	      50(0)	    151(77)	     6(0)	     0(0)	
    +fifo_with_read_inst:fifo_with_read(DATA_WIDTH=32'b011010)	     99(79)	     50(50)	     74(37)	     6(0)	     0(0)	
     +transcode_write_addr:fifo_address_trancode_unit       	     10(10)	       0(0)	     15(15)	     0(0)	     0(0)	
     +transcode_read_addr:fifo_address_trancode_unit        	     10(10)	       0(0)	     22(22)	     0(0)	     0(0)	
     +simple_dual_port_ram_inst:edb_simple_dual_port_ram(DATA_WIDTH=32'b011010,ADDR_WIDTH=10,RAM_INIT_FILE="")	       0(0)	       0(0)	       0(0)	     6(6)	     0(0)	
  +vio0:edb_vio_top_renamed_due_excessive_length_2          	     104(0)	       6(0)	     203(0)	     0(0)	     0(0)	
   +vio_core_inst:vio_core(INT_WIDTH=0,OUT_WIDTH=9,PROBE_OUT_INIT_VAL=9'b0,UUID=128'b10000011000001101010101000000001000001101010000101000110010110001000000101100110101100010010101000001110000011100101010000110001)	    104(72)	       6(6)	   203(149)	     0(0)	     0(0)	
    +axi_crc_i:edb_adbg_crc32                               	     32(32)	       0(0)	     54(54)	     0(0)	     0(0)	
  +debug_hub_inst:debug_hub                                 	     86(86)	       0(0)	     31(31)	     0(0)	     0(0)	
 +led_buton_axi4:axi4_lite                                  	   137(137)	       0(0)	     81(81)	     0(0)	     0(0)	
 +u_soc:soc                                                 	    2744(0)	     584(0)	    3219(0)	    16(0)	     4(0)	
  +u_EfxSapphireSoc:EfxSapphireSoc_c738d0e3dbf04358be6fed819c809706	  2744(601)	    584(16)	  3219(379)	    16(0)	     4(0)	
   +bufferCC_6:BufferCC_c738d0e3dbf04358be6fed819c809706    	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
   +bufferCC_7:BufferCC_1_c738d0e3dbf04358be6fed819c809706  	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
   +system_cores_0_logic_cpu:VexRiscv_c738d0e3dbf04358be6fed819c809706	 1311(1244)	   335(335)	 1895(1851)	     4(4)	     4(4)	
    +IBusSimplePlugin_rspJoin_rspBuffer_c:StreamFifoLowLatency_c738d0e3dbf04358be6fed819c809706	     67(67)	       0(0)	     44(44)	     0(0)	     0(0)	
   +system_hardJtag_debug_logic_jtagBridge:JtagBridgeNoTap_c738d0e3dbf04358be6fed819c809706	     83(74)	       0(0)	     47(45)	     0(0)	     0(0)	
